,anchor,host_name,IP,avg_rtt,min_rtt,max_rtt,latitude,longitude,distance,location
,,,,,,,,,,
,IN-33,www.irctc.in,172.16.0.1,0.491,0.472,0.51,18.5903784,73.732899,1,Pimpri-Chinchwad
,IN-33,www.irctc.in,203.129.227.105,13.332,12.939,13.725,18.62978,73.79971,2,Pimpri
,IN-33,www.irctc.in,203.129.227.101,0.672,0.624,0.721,18.62978,73.79971,3,Pimpri
,IN-33,www.irctc.in,125.17.115.21,3.842,2.5,5.183,28.64302,77.22598,4,Delhi
,IN-33,www.irctc.in,182.79.141.56,5.987,5.931,6.043,19.14045,72.88234,5,Mumbai
,IN-33,www.irctc.in,125.20.143.98,6.183,6.148,6.219,19.07476,72.88554,6,Mumbai
,IN-33,www.irctc.in,182.19.109.69,46.654,46.258,47.051,19.01615,72.8186,7,Mumbai
,IN-V2-101,www.irctc.in,192.168.1.1,0.617,0.566,0.669,18.58302266,73.73676303,1,Pimpri-Chinchwad
,IN-V2-101,www.irctc.in,103.243.115.217,3.452,3.243,3.661,18.80617,75.17327,2,Ashti
,IN-V2-101,www.irctc.in,103.243.115.193,3.827,3.571,4.083,18.80617,75.17327,3,Ashti
,IN-V2-101,www.irctc.in,125.20.136.49,7.39,6.945,7.836,18.52461,73.87862,5,Pune
,IN-V2-101,www.irctc.in,182.79.141.56,10.942,10.339,11.546,19.14045,72.88234,6,Mumbai
,IN-V2-101,www.irctc.in,125.20.143.98,8.097,7.818,8.375,19.07476,72.88554,7,Mumbai
,IN-V2-101,www.irctc.in,182.19.109.69,32.315,31.005,33.625,19.01615,72.8186,8,Mumbai
,IN-17,www.irctc.in,192.168.2.1,1.157,1.147,1.167,25.6173144,85.1407654,1,Patna
,IN-17,www.irctc.in,203.193.172.1,1.976,1.631,2.32,25.5941,85.13756,2,Patna
,IN-17,www.irctc.in,172.31.231.230,10.773,10.643,10.903,19.57845,76.88234,4,Mumbai
,IN-19,www.irctc.in,192.168.0.1,1.2,1.102,1.297,23.3550692,85.3595417,1,Ranchi
,IN-19,www.irctc.in,203.129.217.1,1.76,1.443,2.077,23.3441,85.30956,2,Ranchi
,IN-19,www.irctc.in,125.16.149.129,10.126,9.706,10.546,23.35128,85.29047,3,Ranchi
,IN-19,www.irctc.in,182.79.211.35,42.841,35.047,50.634,19.14045,72.88234,4,Mumbai
,IN-19,www.irctc.in,125.20.143.98,34.595,34.526,34.665,19.07476,72.88554,5,Mumbai
,IN-19,www.irctc.in,182.19.109.69,52.316,50.531,54.1,19.01615,72.8186,6,Mumbai
,IN-44,www.irctc.in,192.168.10.1,1.038,0.93,1.146,25.4918881,81.8675096,1,Prayagraj
,IN-44,www.irctc.in,61.246.138.73,14.138,13.845,14.432,25.44968,81.84043,2,Allahabad
,IN-44,www.irctc.in,116.119.72.48,31.463,23.965,38.961,28.54279,77.27675,3,Delhi
,IN-44,www.irctc.in,116.119.50.142,23.937,23.932,23.942,28.54279,77.27675,4,Delhi
,IN-44,www.irctc.in,125.18.238.202,26.504,24.099,28.909,28.51467,77.08256,5,Gurugram
