anchor,host_name,IP,avg_rtt,min_rtt,max_rtt,location
IN-40,hathway.net,192.168.2.1,0.851152595,0.60983527,0.238,Gandhinagar
IN-39,iisc.ac.in,13.71.49.222,26.49936813,26.01678333,26.29867421,Pune
IN-28,jio.in,59.160.150.5,26.26777636,26.03820039,28.24065633,Ahmedabad
IN-V2-51,hathway.net,136.232.27.246,33.00588524,33.25008374,34.07859291,Navi Mumbai
IN-28,uidai.gov.in,192.168.0.1,0.581844047,0.598846117,0.238,Chennai
IN-19,www.irctc.in,125.16.149.129,9.451179533,10.22506572,10.42462353,Ranchi
IN-28,metro.in,180.87.37.33,27.81677052,27.57173354,27.66375496,Chennai
IN-44,hathway.net,61.246.138.73,21.07167561,20.27190281,23.98988812,Allahabad
IN-47,hathway.net,115.110.210.38,24.12161251,18.82716178,28.52126908,Delhi
IN-12,meghalaya.gov.in,116.119.72.56,7.322711284,5.454063069,10.03488693,Delhi
IN-V2-164,iisc.ac.in,104.44.12.126,20.99294649,20.55204864,22.14257968,Chennai
IN-44,hathway.net,61.246.138.73,24.94138942,23.82259209,25.17174352,Allahabad
IN-28,sbi.co.in,192.168.0.1,0.673619985,0.737165366,1.084713471,Chennai
IN-57,hathway.net,192.168.10.1,0.246302933,0.479552572,1.069224061,Kutabandh
IN-V2-134,jio.in,122.187.95.101,10.75119211,9.914199248,10.73996347,Bangalore
IN-V2-07,meghalaya.gov.in,172.26.110.148,4.428781177,3.364568556,3.447346175,Kolkata
IN-V2-164,startupindia.gov.in,192.168.9.254,0.433110008,0.22,0.494159763,Thiruvathapuram
IN-V2-51,hathway.net,136.232.27.246,33.41848775,32.4861621,33.37378485,Navi Mumbai
IN-39,jio.in,203.193.135.2,1.124044637,0.533931322,1.868785773,Nagpur
IN-19,hathway.net,192.168.0.1,0.899594775,1.346478774,0.688852048,Ranchi
IN-V2-164,iisc.ac.in,13.71.49.222,33.44747675,33.16635618,33.78105146,Pune
IN-V2-208,jio.in,3.33.130.190,0.659162242,0.897496685,1.457758144,Seattle
IN-V2-229,hathway.net,192.168.7.1,0.956540445,0.657296605,0.435007163,Kolkata
IN-V2-164,github.com,121.244.53.25,1.101693455,1.128484901,1.760476705,Thiruvathapuram
IN-V2-249,108.117.11.94,154.206.27.249,4.850066491,3.042398959,6.312068258,Delhi
IN-57,hathway.net,182.72.222.125,10.2762894,9.588193118,9.932603956,Bangalore
IN-V2-139,google.com,216.239.48.64,36.68467429,36.83653573,37.42844859,Hubballi
IN-31,sbi.co.in,182.79.245.225,16.74162782,17.37226583,17.49083753,Chennai
IN-V2-249,108.117.11.94,154.210.186.208,2.065890413,1.743669509,2.181090176,Delhi
IN-V2-208,sbi.co.in,115.114.26.242,2.645233418,2.156826425,2.17025331,Chennai
IN-V2-51,hathway.net,116.119.109.76,5.43555213,4.741009555,5.768634451,Delhi
IN-V2-198,sbi.co.in,182.79.245.225,9.29602522,9.770759563,10.0601728,Chennai
IN-V2-164,github.com,121.241.155.242,29.08705452,21.88292222,36.34922916,Thiruvathapur
IN-V2-134,github.com,192.168.1.1,0.650640765,0.421255005,0.414845217,Bengaluru
IN-V2-139,google.com,125.17.254.213,9.531978455,9.287058129,9.366576216,Hubballi
IN-57,hathway.net,192.168.10.1,0.703954758,0.561932053,0.294199338,Kutabandh
IN-V2-134,github.com,192.168.1.1,0.690058718,0.680255457,0.805738842,Bengaluru
IN-19,www.irctc.in,125.16.149.129,9.757208829,9.851762799,10.95401468,Ranchi
